FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS
2020-04-10,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,23,69,18
2020-04-10,HALTON REGION,2236,112,137,9
2020-04-10,HASTINGS & PRINCE EDWARD COUNTIES,2238,12,11,1
2020-04-10,HURON PERTH,5183,20,8,1
2020-04-10,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,13,39,0
2020-04-10,LAMBTON COUNTY,2242,65,26,9
2020-04-10,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,102,36,8
2020-04-10,MIDDLESEX-LONDON,2244,109,53,8
2020-04-10,NIAGARA REGION,2246,91,95,12
2020-04-10,NORTH BAY PARRY SOUND DISTRICT,2247,2,4,0
2020-04-10,NORTHWESTERN,2249,1,8,0
2020-04-10,OXFORD ELGIN-ST.THOMAS,4913,13,13,2
2020-04-10,PEEL REGION,2253,575,222,14
2020-04-10,PETERBOROUGH COUNTY-CITY,2255,14,36,0
2020-04-10,PORCUPINE,2256,21,15,2
2020-04-10,RENFREW COUNTY AND DISTRICT,2257,5,6,1
2020-04-10,SIMCOE MUSKOKA DISTRICT,2260,64,51,5
2020-04-10,SUDBURY AND DISTRICT,2261,8,19,1
2020-04-10,THUNDER BAY DISTRICT,2262,15,7,0
2020-04-10,TIMISKAMING,2263,4,3,0
2020-04-10,TORONTO,3895,947,582,52
2020-04-10,WATERLOO REGION,2265,99,91,5
2020-04-10,WELLINGTON-DUFFERIN-GUELPH,2266,90,40,1
2020-04-10,WINDSOR-ESSEX COUNTY,2268,175,71,6
2020-04-10,YORK REGION,2270,310,268,24
2020-04-11,ALGOMA DISTRICT,2226,3,7,0
2020-04-11,BRANT COUNTY,2227,21,42,1
2020-04-11,CHATHAM-KENT,2240,6,11,1
2020-04-11,CITY OF HAMILTON,2237,76,131,6
2020-04-11,CITY OF OTTAWA,2251,208,286,8
2020-04-11,DURHAM REGION,2230,137,165,20
2020-04-11,EASTERN ONTARIO,2258,17,38,0
2020-04-11,GREY BRUCE,2233,19,13,0
2020-04-11,HALDIMAND-NORFOLK,2234,71,28,10
2020-04-11,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,29,74,18
2020-04-11,HALTON REGION,2236,109,147,10
2020-04-11,HASTINGS & PRINCE EDWARD COUNTIES,2238,12,12,1
